"rating.2.31." "review" "yy_2"
"3.0" "It's definitely nowhere near the Monterey Bay aquarium but if you're in Baltimore and wanted to see some fish its not bad. I just wouldn't pay $20 - $25 because you can go through it all in an hour and a half and a few of the areas are kinda lame." "1/13/2008"
"4.0" "This was the first time I have ever been to the National Aquarium in Baltimore.  I have to say that I was not impressed.  The lighting in the place is horrible.  I expected to see more varieties of cooler fish.  They had some sharks and a couple of other nice marine animals.  The admission price is pretty high and parking is ridiculously expensive.  The 4D Planet Earth show was decent. The dolphin show was nothing special.  If you never been there before I would recommend going just to say you have been there but nothing to write home about." "9/19/2010"
"2.0" "I took my daughter and a friend today. I have to say I was very impressed with the aquarium but not as impressed with the shows they had. Not that they weren't good entertainment they were just too short. I dont know how much extra we paid for a 4D movie that lasted 10 minutes maximum but I hope it wasnt alot. The movie was cool and so were the effects but it was so short it almost seemed choppy. The Dolphin show was really fun and educational but also a bit short for me." "4/24/2010"
"5.0" "The admission price is wicked steep.No penguins, no seals, no sea lions.The highlight is definitely the sloths in the rainforest. But WTF, go to the national zoo if you want to see sloths. Next best was the frogs but I dunno if that is a permanent exhibit.Been to better, for cheaper." "5/23/2007"
"4.0" "I love this aquarium!  My dad used to take me whenever I would visit him when I was a kid.  My favorite thing is the seals out front!  SO COOL!  I could stare at them for hours.  I now live in the same city as the world's largest aquarium, Georgia Aquarium, but I just love Baltimore's so much more." "9/19/2007"
"4.0" "Decided to cross the Baltimore Aquarium off my list today as places I wanted to visit.  I read some reviews on yelp before I left today and got a little nervous.  However, I ended up having a great time!  I can't comment on the dolphin and 4d show as I didn't have time to attend either show today, but I thought the aquarium itself was good.  Is it the best aquarium I've ever been to in my life?  No, but it is definitely worth the 3 hours I've been there.  Things I would point out are: Yes, if you can figure out what time you're going to be at the aquarium buy your tickets online.  When I got there at 3 pm today to buy tickets in person the check in time was 4:30pm.  Next, don't worry about what exhibits you want to see, there's really only one route to go through.  What I remember most are the puffkins and the clownfish.  All in all a great time!" "7/5/2010"
"5.0" "This is such a great aquarium, located right on the scenic Inner Harbor in Baltimore, Maryland. They have a great collection of sea creatures, and it's all very well set up. The eatery has good food. The exhibits are constantly changing, which I really respect. Some places stay the same forever! I love how they use different lighting to cast cool effects in certain areas of the aquarium. The only thing I don't like about it is the admission. It's way too high! But I'd say it's worth it - and repeat visits are highly recommended!" "9/23/2007"
"4.0" "I grew up going here for field trips.  When I got older, I went on dates here.  Fridays after five, prices take a dive.  I haven't been in years, but when I've been to several other aquariums and this one is still the best." "6/27/2007"
"4.0" "Went there on a school trip a few years back and I have to say it's actually a really cool aquarium to go to. I never really thought much of aquariums before this always just saw them as big fish tanks with really expensive fish, but this place really reintroduced me to the aquarium experience. They are very informative, very fun, and the best part is it dusty have that really musty, wet smell that most aquariums tend to have. It is actually perfect for a one-day trip, a few times I even found myself just staring at a certain fish for ten minutes at a time even forgetting to blink at some points. Their dolphin show is also really cool to watch, if you've seen a dolphin show before there's nothing really different. But it's always cool watching dolphins do what they do. If your ever looking for something to do for the day but can't think of what the National Aquarium is definitely the place to visit." "3/22/2009"
"3.0" "lovely aquarium (shark exhibit was the best!), though i think it would've been nice to add some more local flavor to the area, as i ended up eating at the hard rock cafe!" "6/11/2008"
"3.0" "The reviews are all over the place on the Baltimore Aquarium.  I guess I would reiterate a lot of what's been said; both good and bad.  Needs some renovation, it was very crowded and difficult to see the exhibits, it's expensive (+$20 for parking) and the dolphin show is just so-so.  But there's not much else like it around the Bal-Wash metro area and there's lots to see and learn here.  My guess is that a fall/winter visit would be a much better idea.  And the Australia exhibit is pretty cool." "8/26/2007"
"4.0" "pretty cool aquarium. the shark tank is nice. the dolphins show is ok. might be worth it for the kids. I didn't find it that entertaining. they also have a very nice rain forest inside. it will be a very enjoyable visit" "7/16/2009"
"5.0" "very impressive, i easily spent a few hours here. the 4D immersion movie was a hit! definitely see that. the dolphin show was ok, sit in the front and you will get splashed! it's a little short show though. the aquarium itself was very well constructed. it's a walking tour per se. the main tanks are vertical and the aquarium is like a parking garage, you go from level to level seeing all the displays. there's also a lobby air condition sitting area that overlooks the bay. I think it was close to $30. if you're military buy them before you arrive, they won't give the military discount at the window." "8/19/2009"
"5.0" "One of the better aquariums that I have visited and i dont' mind the admission fee because you get a lot for what you pay for plus you're  probably doing a good thing.  C'mon the money goes towards helping the ami-nals! (yes i know i spelled that wrong).Large sting ray tank w/ cute chubby turtle that was missing a front flipper due to hypothermia inflicted amputation.  Tons of frogsto look at too - in an effort to save them from the plague that is killing of many frogs :( :(  Like how they divided up the fishy tanks by region - although I wish the murky fish (super deep dwelling fish) would have showed some more light! It was so hard to see!!The dolphin show is cute - not quite the same as Seaworld, but its not bad for only being like $3-4 more on top of admission prices.  Splash zone is a joke.  I made my whole family sit w/ me in front and center cuz i wanted to see them get soaked - and only got slightly sprinkled on." "9/12/2006"
"5.0" "If you are coming to Baltimore make sure to plan a stop here.  The information they provide with every exhibit is very informative and interesting.  Great for kids of all ages 0-199!!!!  Plus the Dolphin show is cool!" "7/6/2007"
"4.0" "Best Aquarium Ever." "4/9/2007"
"3.0" "This place is cool and definitely kids would enjoy it. I was driving to Philly and on the way stopped in Baltimore to eat. Heard form locals that this place is nice and so went to check out and found it really nice. Located next to USS Constellation. Both these place are worth the money and time." "3/6/2009"
"4.0" "The jelly fish invasion was the best part of this aquarium since they had more jelly fish displays than in any other aquarium I have been to. The shark display as well as the one with the octopus were great too especially since most  aquariums don't have that many kinds of shark and this was the only one I saw with an octopus. My son also liked the pool with the manta rays, giant turtle and little sharks swimming about in it but I was worried if he leaned over too much he might fall inside of it. The only suggestions I have - The dolphin show would have been better without the lengthy video which was distracting - I'd rather only see the dolphins perform.  We had hoped there would be a sea lion show too like there is at the aquarium on Coney Island.The children's play area here was plain boring - I didn't get it at all  - a few rubber things that looked that octopus tentacles separated from the octopus and a table with crayons and one big piece of paper. My 5 year old son and I skipped the 4 D movies since the negative reviews of these movies on Yelp turned us off and also my son had had enough of 4D movies with water squirting you in the face and moving theater chairs during our recent trip to Universal Studios in Orlando.  P.S. We went at 10:00 a.m. given the warning in other reviews about crowds. The crowds start around 12:00 noon onwards. The National Aquarium was okay but could have had more inside to entertain you for the price you pay. We were done by 12:00 noon." "8/31/2010"
"4.0" "This is the best aquarium I've ever been to. There are only two minor reasons why it's not 5 stars, and I'll get to those later. This massive aquarium features tons of aquatic life, as well as land creatures from the rainforests of the world. It is very clean and easy to get around, although the walking distances are lengthy. There is a massive pool of sharks and sting rays that you walk over many times through the main exhibition. This is via elevators and walkways, as the main building is five stories. There is a daily dolphin show, which I didn't have time to partake in. The aquarium is composed of three buildings, the main exhibition in one, the dolphin show in another, and then a third building with exhibition space I believe to be temporary. However, the Australia exhibit is not worth your time. This is in the third building as of the time of this review. It dosen't cost any extra, but it's very short and shows pretty much the same stuff you find in the main exhibition, with a few exceptions. The other downside, the cost. It's about $21 for an adult to get in, and about $24 for the dolphin show on top of everything else. Otherwise, excellent aquarium and I recommend visiting if you find yourself within two hours of Baltimore with time to spare. I came while visiting Washington." "6/29/2007"
NA "pretty good for an aquarium, enough varieties so you won't get bored, and yet the pace is fast enough so you won't be overwhelmed." "8/9/2006"
