"rating.2.41." "review" "yy_2"
"11" "4.0" "we went to the aquarium looking forward to the dolphin show with my husb and our 4 boys 13,10,4 and 3 the drive from Philly was long 2hr with back to back traffic altho we did leave later than expected 10:30am.our entrance time had a 31/2 hr time delay with sold out dolphin show! we were all so upset.I wish i would have booked online.when we finally got in we were shocked at the $3.99 small gatorade and over priced food at the cafeteria!without the dolphin show we think the adventure aquarium in Camden is better for kids because they have penquins outside,hippos and a petting rays part Baltimore one doese not.on a good note our 4:15 time slot wasnt as crowded." "6/23/2014"
"12" "3.0" "I love the whole set up.  A beautiful modern take on an Aquarium." "6/10/2014"
"13" "5.0" "Love the Sharks, and entry way. The aquarium does however have an uncomfortable and difficult to get around in layout. If you have toddlers or younger, this may not be the place for you. The aquarium is quite pricy and if you are only going to spend a couple of hours there, I suggest going elsewhere. If you are a nature enthusiast and love sea creatures, this is a great place to go. If you have small kids who may not have the greatest attention span, maybe you should pass on this VERY expensive ticket. The habitats are very well done and practically take you to another land. I really enjoyed the dolphins and that sharks. My kids loved the sharks and jellyfish. I would love to go again, but may not be so willing to spend the money on the ticket until my boys are older." "6/27/2013"
"14" "5.0" "The National Aquarium is great! The layout of the whole aquarium is so unique and makes the experience even more exciting. The Jellies Invasion is by far my favorite. Can't wait to to go back, hopefully for Dollar Days again this year!" "12/4/2014"
"15" "4.0" "Well set up, not too impressed with gift shop." "5/3/2014"
"16" "5.0" "Dive right in!Giant sea turtle (missing a fin), emerald boa, flipping dolphins, and sword shark!Incredible space, incredible exhibits. Only thing keep it form 5 stars is the $30 price tag. The most expensive museum/exhibit in the area. Ouch!" "7/8/2012"
"17" "5.0" "My friends in Baltimore told me that this is the best aquarium in the nation.  I had my doubts because I have been to the Monterey Bay Aquarium and was completely impressed .  Well, both aquariums are most impressive.  Far better then your local fish places.  They are leading the way on education and conservation.  You are missing out if you skip over this when you visit Baltimore." "9/21/2013"
"18" "5.0" "Amazing! Would recommend this to anyone! The staff even helped us avoid all the school field trip students." "10/29/2014"
"19" "4.0" "One of my favorite aquariums. It IS kind of pricey but I think it's well worth it." "9/5/2013"
"20" "4.0" "I came here thinking \"once you've seen the Monterey Bay Aquarium, all other aquariums are just tanks of water with fish.\" But this aquarium proved me wrong, sure they had a small section of Pacific Ocean ecology but getting to see the Atlantic Ocean ecology was pretty cool too. I also didn't realize this aquarium was so huge! There's a whole dolphin arena if you take the sky bridge to the other building! We got to see the divers feeding the fish & sharks in the main atrium area; the divers were incredibly engaging during the feeding. The other cool thing was the Amazon rain forest; there are bats hanging from the net at the top of the giant room, birds and the funny long neck turtles swimming around. There was also an employee feeding the archerfish with a live cricket on a long stick - the fish would spit to hit the cricket and make it fall in to the water so they could eat it. THAT was pretty fun to see! We spent a good 3 or 4 hours there. It just goes to show that things like aquariums aren't necessarily kid & family exclusive places." "1/7/2014"
"21" "5.0" "I love this Aquarium. I'm a huge fan of animals, so whenever we go to a new state, my boyfriend and I try to go to the zoo or aquarium to see what it's like for that state. We first got to the Aquarium and waited on line for tickets (which is way TOO overpriced..34$/person) and unfortunately the customer representative behind the counter was rude. Tya, as her name tag said, didn't make eye contact with either me or my boyfriend as she sold us the tickets. Instead she stared straight ahead and it was as if we didn't exist. Despite this we had a pleasant experience with other staff and didn't let this bother us. Upon entering there was a deck where you could view the harbor and it was beautiful! All the buildings on the other side of the water and the submarine was a plus. Every floor had its own dedication. Being a turtle fan, I was extremely excited about this floor. I loved the fact that the aquarium could be seen on all levels. The sting rays here are the biggest I've ever seen!!! And all different colors and patterns :D My favorite part was with the jelly fish invasion. They have a large cafeteria on the main floor and on small one on an upper level floor if you get hungry during the day there though I did not notice the price of the food at this venue. The exhibits were all very nice and most animals could be viewed though of course people crowded around the more popular displays. The exit may be one of the better ones I have seen from a place like this as it has views of all the animals as you are going back down to the main floor without having to retrace the path you took to the top which was very nice and unique. The dolphin show was quite nice, learning about them was a plus, however, when the presenter was speaking she was a bit muffled and hard to hear. The Australian exhibit was  nice. I like the nature/forest setup, felt like the great outback :) Overall a very nice Aquarium and well worth the trip." "9/26/2014"
"22" "4.0" "I think this is my favorite aquarium on the east coast. It's definitely a toss up between here and the Georgia Aquarium in Atlanta each has their own area's where they really excel. However I think the Baltimore Aquarium has the edge. There are so many things to see here at any given time that I'm not even going to try and describe them all to you. To really get a thorough look at the place I suggest you get there in the early afternoon and plan to spend about 4 hours there at the least. That should give you ample time to check out the most interesting exhibits and take in the dolphin show. Then you can hit the Inner Harbor for a meal. If you can, order your tickets in advance online. It will save you a few dollars and a lot of time and hassle as I've seen walk ups turned away or told they have to wait. Also consider visiting during the off season. The crowds can be very large during the summer." "11/10/2010"
"23" "4.0" "We had a ball at the Baltimore National Aquarium ..it was awesome, its nice to be able to see some of gods beautiful creations in one place and to see how the aquarium take such good care of them...its a must see!" "10/28/2013"
"24" "2.0" "Great for children.  Good for 2 -3 hours.  Plan on taking a break mid-way.  Leave the facility and eat at restaurant outside for superior food.  Get a hand stamp for re-entry.We had entry tickets for 11 AM on a Sunday.  Would recommend getting in early and during the week if possible as it does get crowded!  We did not have a choice since we were coming from Falls Church, VA via Poolesville, MD.Keep a close watch on the little ones since there are lots of chilldren struggling to get close to the many exhibits.Dress light as the humidity is high and the temperatures are warm, partially due to the abundance of glass!My only complaint was that we when to 2 dolphin shows.  The first involved hitting ice to them as an enrichment activity!  Totally boring to both the audience and the dolphins.  Members of the audience were walking out before the end of the show and two of the six dolphins had stopped participating soon after the \"show\"  had started.  The next show was more entertaining!  Glad we went back.  While I understand this is not Seaworld the Aquarium needs to understand people do come for entertainment and not JUST Education! Was here two years ago and think it may be a while before we return.  Maybe when my grand son is older and better behaved!PS..Adult Prices are $34.95 plus $1.95 on line processing fee rather than the $25 mentioned by another reviewer!!  Child was $21.95 plus $1.95 fee!  Expensive when taking a group!" "7/1/2013"
"25" "5.0" "(This is about visiting the aquarium on a Friday after Five.)First off let's get rid of two big lies that you locals in Baltimore keep spreading:1.  That going after 5pm on a Friday is somehow \"great\".Sure it's great if you love lines, rude people, queues and not being able to see anything.  The price is awesome but it comes with huge drawbacks that no one seems capable to tell the truth about.2.  That the dolphin show is somehow \"worth it\".3/4 of the show is watching eco-propaganda on video screens.The dolphin show this past Friday barely made twenty minutes and the time of actual dolphin activity was closer to maybe four minutes.Everything was screwed up and chaotic from lining up outside for admission until way after five, not having one of the escalators working, pushing cheesy admission pictures on everybody that slowed everything down by the entrance, to not having any staff visible anywhere except for at the dolphin show.I've been to the aquarium many other times and while I realize it can get crowded, the fact the so many local yelpers refuse to actually let others know about the huge crowds that are normally there on Fridays after five, I asked what staff I could find and they all said that it's a zoo after five weekly particularly in bad weather, really does everybody a disservice.Because unless you love lines, queues, being pushed around and crowds, you'd be an idiot to go during this time." "3/3/2012"
"26" "4.0" "REVIEW OF A FISH-LOVER and CROWD-HATER:If you are an enthusiast of marine life, I would highly highly recommend you come here.  There are a LOT of different displays, from smaller tanks to giant recreated habitats and a wide spectrum of freshwater and saltwater creatures. The jellyfish exhibit was also fantastic.  Overall the place has a beautiful atmosphere.  The $25ish admission is so worth it (we did not do the 4D movie or the dolphin show).One of my main intentions for my visit was to avoid crowds.  In my mind, crowds ruin the aquarium experience.  I came in at 4:30pm on a Monday and I think this was a wise decision.  The places 'closes' at 5pm but they don't kick people out until 6:30.  There were still people but not many, and we could explore the place at our leisure, and only dealt with one or two loud kids.  NOTE: The jellyfish exhibit closes a bit early, around 5:30ish.This is more than just an aquarium.  There is a an indoor rainforest that has tons of tropical plants.  And the Australia exhibit had a lot of birds and plant life, as well as frogs, snakes, and lizards.My friend and I spent a good 90 minutes here just taking our time and looking at all the exhibits.  You also get great views of the Baltimore harbor area.  Did I mention the cool ska-reggae music playing in the gift shop?  Seriously, GO HERE." "4/17/2012"
"27" "5.0" "Aquariums have always been one of my favorite places to go! That being said, this one is awesome. Lots of variety, lots of jellyfish, and dolphin shows too. Lots of things to see! Caution: the birds in the rainforest exhibit can and will poop on you!Cons: Food is overpriced (expected though), tickets are $35 (if you get a AAA discount get your tickets beforehand through AAA), and I went on a weekend so it was crowded to the point where I didn't feel like waiting almost ten minutes so see a certain tank." "6/10/2013"
"28" "5.0" "Admission was  around $34 without any discounts. I would have paid $60. Amazing layout, excellent exhibits, and friendly staff." "5/4/2014"
"29" "4.0" "Everyone knows about this place, everyone expects a lot and it certainly meets/exceeds those expectations.  Even when crowded it's bearable.  Great layout, plenty of open space, amazing selection of sea life, clearly labeled exhibits, etc.Simply the best." "7/30/2012"
"30" "4.0" "If you're remotely local you owe it to yourself to get a membership because you'll never see everything on a single day trip. The lay out is a little hodgepodge and not stroller friendly. It's important to check the screens thoughout the building to find out when feedings and talks are going on as they are some of the best parts and give you a chance to chat with the animal keepers. I do wish they showed more of their animal rescue and conservation programs in the building as that is the reason for their otherwise high looking admission cost for a non profit. Also be aware that some parts of the building Dolphins, Jellys, Rainforest and Australia close before the main exhibits so if you come in near the end the day you might miss things.  The new webcam is great." "11/11/2014"
"31" "5.0" "3.5 Stars.I thought it was a bit too crowded for a weekday & I did the advised thing and entered @ 3pm.  Its tough for me to walk due to accident, so getting around people was difficult, plus one of their moving walkways was down & it gave me a good workout to get up the incline but then it was working 10 mins later.Sharks were great as well as dolphins, though the show was a bit too short." "8/17/2012"
"32" "5.0" "This is my favorite attraction in the Inner Harbor, by far! The space is gorgeously situated on the water and the variety of activities and exhibits will have you coming back over and over again.This past Memorial Day, I went for my fourth time, and even though some of my favorite areas were under construction, there were plenty of other attractions within the Aquarium to see.One word of advice I do have for those wanting to spend a good bit of time at the aquarium--make sure to buy tickets ahead of time! We bought tickets the day before thinking we could just choose our entry time, and while there were very reasonable times left, there were a few that were already sold out!The National Aquarium is a must-see for anyone in the Inner Harbor area, and well worth the price of admission!" "5/29/2013"
"33" "2.0" "I love the Aquarium, and so does everyone else. Internationally,  Maryland attracts attention to their Aquarium. Over the years the facility as grown to offer a better assortment of Jungle birds, frogs, spiders and plants. The Dolphin show was always one of the best things to see, however over the years the prices have gone up and tickets sell out quick, so make sure to get their early or order online prior. You'll start by seeing the rays swimming throughout the tanks, and a mix of other fish. As you progress to the top of the facility you will ride escalators over their tanks, making the trips in between floors visually stimulating.Dolphins, Sharks, Fish, Jellies and so much more in the aquatic offerings at the National Aquarium. Once at the top you will get into a smaller bird, jungle plants and species . There is a much larger display of birds and other jungle life.There is food at the end of the fish mazes you'll end up running into it and you may exit the facility or re-enter to get back to a show or a different floor. Staff is awesome, and their dedication is amazing. You'll find some of the best knowledge through their tours. - Handicap accessible - Field-trip pricing is offered through their website, please refer to their website and book a head of time. - An excellent place to visit and a must during your stay in Baltimore. - Friday's offer discounted pricing for visiting after 5pm." "1/13/2012"
"34" "4.0" "We visited in April 2013.  I had visited 7 or 8 years ago and had a much better impression, but it appears things are not what they used to be.We had serious safety concerns with overcrowding, poor/nonexistent lighting, and lack of exit signage in the Aquarium. The Aquarium advises you that \"for the best experience\" you should visit during off peak hours. Due to our schedule, though, we really had no choice but to visit in the afternoon, on a Saturday, in the Spring - which I know is a busy time of year. We went in fully aware that it would be very crowded. What we found:- Extreme crowding far beyond any rational level. I am not a fire marshall, but I would be Very surprised if they were not exceeding fire code limits. Crowding was such that we skipped entire sections of the aquarium because we literally couldn't move or see any of the exhibits. There appears to be no way to measure the number of people in the Aquarium at any given time - no turnstiles, and we didn't see anyone using a click device.  They also do not stick to their timed ticket rules (which was good for us since we were a few minutes late, but not good for crowding).  They were letting in everyone who had a ticket for that day prior to the current time...so at 1pm, they were letting in anyone with a ticket timed from aquarium open to 1pm.- Dark, crowded exhibits with with virtually ZERO lighting. In some areas the small exhibit tanks provide virtually the only light. I was holding the hand of my three year old niece with an iron grip because I couldn't even see her head 3.5 feet in front of me - truly. I understand keeping the lights low for the animals, but there aren't even strip lights on the floor to show you where the floor ends and the wall begins.- insufficient exit signage. Multiple times the crowd was so large that I started wondering how I would get out if something happened - a fire, whatever. Looking around, especially in the area with the large staircase and shark tanks, I could see no signage. I'll admit It's possible I missed it, but when someone is consciously searching for the exit sign, shouldn't it be pretty immediately apparent?We did enjoy the fish we were actually able to see, and we also really enjoyed a dolphin training session that was unannounced, so the viewing area was half empty.If we were to ever go again, we would go right at the time the aquarium opens...but I would still be uncomfortable with the extreme darkness, inability to see anything other than the fish (including the kids), and lack of signage." "4/15/2013"
"35" "4.0" "...we saw a sloth... =D" "1/17/2013"
"36" "4.0" "We went Friday 09/10 in the afternoon.  Not too busy, but still relatively full.$25 base tickets per person.  The price goes up a couple bucks if you add the dolphin show (which I think is about 20 minutes long) and/or the 4D movie (which was either a Dora the Explorer cartoon or a Planet Earth movie).  We opted for the base tickets, and did the whole place in a little over 2 hours.  Block out at least that amount of time, maybe longer if you like to ooh and aah or you have kids with you.Our first stop was the open pool that housed rays, smaller sharks and the biggest 3-flippered turtle I've ever seen in my life.  This was a cool exhibit because you looked down on the large area where the wildlife was allowed to swim free.  They had a small presentation during our time there, where we saw geared up workers in the pool feeding and interacting with the fish.We also got up close and personal with sharks and other larger fish in an area where you walked down a meandering 3+-story oval ramp located inside an aquarium.  This was a surreal area because the aquarium surrounded you as you walked deeper and deeper in to the dark water, with sharks and schools of fish swimming by.  Very cool.The rainforest area included many windows of brightly hued poisonous frogs (some of which were the size of a small pinky fingernail!), snakes and then outside in to a moist jungle, complete with neon-plumed birds, sloths and waterfalls!The final stop was the Jellyfish exhibit.  Not as big as I was expecting, but oh the variety!!  This was a popular area, and located right by the dolphin exhibit.  The workers, walking through the exhibits and extremely helpful and knowledgeable, recommended we visit the jellyfish before the dolphin group let out so it wouldn't be so crowded.  Good call.This place is worth the admission price and is a highly recommended trip for any visiting tourist.  Try the Friday after 5pm special they're running through September and October - $5 admission (instead of $25).  Check their website for when they close on Friday evening just to be safe.  We would have totally gone for this deal if we didn't have 7pm dinner reservations already planned." "9/15/2010"
"37" "4.0" "This was worth the 40 min drive. The aquarium is not huge but the exhibits and interactive displays are awesome. The Tropical Rain Forrest is something you need to experience once inside. I did not stay long enough to see the dolphin show but next time I will. I heard its a must see event. It's located in a perfect spot on Baltimore's Inner Harbor. You can make a full day of your visit here. Plenty of other things to do once you leave from the aquarium. Great for kids and would make for great date fun. I'll definitely be back." "9/8/2013"
"38" "4.0" "The aquarium itself was awesome. The rain Forrest was definitely my favorite part. A little crowded but what else do you expect for a Saturday morning. The staff was great. Very knowledgable. I'm giving it 4 stars solely because most of the exhibits and good places don't open until 10:30 or 11. If you open at 9am to the public everything should be open at 9am! Just my opinion though." "4/27/2014"
"39" "4.0" "Everything that you want in an Aquarium...plus a little bit more.We recently went on a daytrip to this Aquarium. Although it was a bit crowded and I didn't really care for the layout of the place, it was a great experience and the aquarium had a lot of exhibits.They have everything from aquarium standards like sharks, rays and eels...to jelly fish, which you don't always see at an aquarium. An added plus was that the place was very well-staffed and everyone who worked there seemed very informed about their section.The Dolphin Show was pretty cool. Also gets very crowded, so do show up early to your showing. Don't sit in the Splash Zone unless you're looking to take a bath.We also had tickets for the 4D show which nearly gave me a heart attack. I won't give it away here, but if you have back problems you might not want to take part in this.This Aquarium also has an indoor \"rain forest\" and a coral reef exhibit. While I have visited a couple of aquariums, I have never been to one where I was able to see live divers jumping into the tanks to feed and interact with the fish...So that was also a cool experience.Souvenirs are expensive just like everywhere else...This is a great trip to bring the kids along on. There are also a couple of other museums in the area (African-American History, Children's Museum)...so Baltimore definitely makes for an interesting trip." "1/29/2012"
"40" NA "I have come here with my family a few times now and this is a great aquarium. There's a lot to see and the layout is really neat. The prices are pretty steep in my opinion ($30 for adults and $21 for children 3 and above), but we like to take advantage of the Friday after 5 pm deal where it's only $12 (for kids & adults). I would recommend buying tickets online. It'll save you from having to stand in line.Make sure you park in the Lockwood Place garage. You can get a discount by going to the aquarium's information desk and having them validate your parking ticket. Also, a tip if you have children: they do not allow strollers (because of the escalators and moving walkways). However, they'll store it for you and provide you with a child carrier if you don't have one." "2/9/2013"
